Type,maximum_budget,maximum_budget_unit,case_study,,,,
113,0,MtCO2e,KH,,,,
114,38.45949429,MtCO2e,KH,,,,
115,76.91898857,MtCO2e,KH,,,,
116,115.3784829,MtCO2e,KH,,,,
117,153.8379771,MtCO2e,KH,,,,
118,192.2974714,MtCO2e,KH,,,,
119,230.7569657,MtCO2e,KH,,,,
120,2.69E+02,MtCO2e,KH,,,,
121,5.95E+01,MtCO2e,LA,,,,
122,39.63994671,MtCO2e,LA,,,,
123,19.81997336,MtCO2e,LA,,,,
124,0,MtCO2e,LA,,,,
125,8.649895714,MtCO2e,LA,,,,
126,17.29979143,MtCO2e,LA,,,,
127,25.94968714,MtCO2e,LA,,,,
128,34.59958286,MtCO2e,LA,,,,
129,43.24947857,MtCO2e,LA,,,,
130,51.89937429,MtCO2e,LA,,,,
131,6.05E+01,MtCO2e,LA,,,,
132,6.00E+03,MtCO2e,ID-PH-SG,,,,
133,2997.939888,MtCO2e,ID-PH-SG,,,,
134,0,MtCO2e,ID-PH-SG,,,,
135,1081.876388,MtCO2e,ID-PH-SG,,,,
136,2163.752775,MtCO2e,ID-PH-SG,,,,
137,3245.629163,MtCO2e,ID-PH-SG,,,,
138,4327.50555,MtCO2e,ID-PH-SG,,,,
139,5409.381938,MtCO2e,ID-PH-SG,,,,
140,6491.258325,MtCO2e,ID-PH-SG,,,,
141,7573.134713,MtCO2e,ID-PH-SG,,,,
142,8.66E+03,MtCO2e,ID-PH-SG,,,,
143,1.07E+04,MtCO2e,ID-MY-PH-SG,,,,
144,7134.947481,MtCO2e,ID-MY-PH-SG,,,,
145,3567.473741,MtCO2e,ID-MY-PH-SG,,,,
146,0,MtCO2e,ID-MY-PH-SG,,,,
147,1645.927157,MtCO2e,ID-MY-PH-SG,,,,
148,3291.854314,MtCO2e,ID-MY-PH-SG,,,,
149,4937.781471,MtCO2e,ID-MY-PH-SG,,,,
150,6583.708629,MtCO2e,ID-MY-PH-SG,,,,
151,8229.635786,MtCO2e,ID-MY-PH-SG,,,,
152,9875.562943,MtCO2e,ID-MY-PH-SG,,,,
153,1.15E+04,MtCO2e,ID-MY-PH-SG,,,,
154,1.04E+04,MtCO2e,ID-MY-PH,,,,
155,6907.812731,MtCO2e,ID-MY-PH,,,,
156,3453.906365,MtCO2e,ID-MY-PH,,,,
157,0,MtCO2e,ID-MY-PH,,,,
158,1485.232286,MtCO2e,ID-MY-PH,,,,
159,2970.464571,MtCO2e,ID-MY-PH,,,,
160,4455.696857,MtCO2e,ID-MY-PH,,,,
161,5940.929143,MtCO2e,ID-MY-PH,,,,
162,7426.161429,MtCO2e,ID-MY-PH,,,,
163,8911.393714,MtCO2e,ID-MY-PH,,,,
164,1.04E+04,MtCO2e,ID-MY-PH,,,,
165,5.77E+03,MtCO2e,ID-PH,,,,
166,2884.372513,MtCO2e,ID-PH,,,,
167,0,MtCO2e,ID-PH,,,,
168,941.268375,MtCO2e,ID-PH,,,,
169,1882.53675,MtCO2e,ID-PH,,,,
170,2823.805125,MtCO2e,ID-PH,,,,
171,3765.0735,MtCO2e,ID-PH,,,,
172,4706.341875,MtCO2e,ID-PH,,,,
173,5647.61025,MtCO2e,ID-PH,,,,
174,6588.878625,MtCO2e,ID-PH,,,,
175,7.53E+03,MtCO2e,ID-PH,,,,
176,4.96E+03,MtCO2e,MY-PH-SG,,,,
177,3721.954179,MtCO2e,MY-PH-SG,,,,
178,2481.302786,MtCO2e,MY-PH-SG,,,,
179,1240.651393,MtCO2e,MY-PH-SG,,,,
180,0,MtCO2e,MY-PH-SG,,,,
181,928.75735,MtCO2e,MY-PH-SG,,,,
182,1857.5147,MtCO2e,MY-PH-SG,,,,
183,2786.27205,MtCO2e,MY-PH-SG,,,,
184,3715.0294,MtCO2e,MY-PH-SG,,,,
185,4643.78675,MtCO2e,MY-PH-SG,,,,
186,5.57E+03,MtCO2e,MY-PH-SG,,,,
