Type,maximum_budget,maximum_budget_unit,case_study
165,0,MtCO2e,ID-PH
166,569.546145,MtCO2e,ID-PH
167,1.14E+03,MtCO2e,ID-PH
168,1.71E+03,MtCO2e,ID-PH
169,2.28E+03,MtCO2e,ID-PH
170,2.81E+03,MtCO2e,ID-PH
171,2.85E+03,MtCO2e,ID-PH
172,3.42E+03,MtCO2e,ID-PH
173,3.99E+03,MtCO2e,ID-PH
174,4.56E+03,MtCO2e,ID-PH
175,5.13E+03,MtCO2e,ID-PH
176,0,MtCO2e,MY-PH-SG
177,380.499798,MtCO2e,MY-PH-SG
178,760.999595,MtCO2e,MY-PH-SG
179,1.02E+03,MtCO2e,MY-PH-SG
180,1.14E+03,MtCO2e,MY-PH-SG
181,1.52E+03,MtCO2e,MY-PH-SG
182,1.90E+03,MtCO2e,MY-PH-SG
183,2.04E+03,MtCO2e,MY-PH-SG
184,2.28E+03,MtCO2e,MY-PH-SG
185,2.66E+03,MtCO2e,MY-PH-SG
186,3.04E+03,MtCO2e,MY-PH-SG
187,0,MtCO2e,PH-SG
188,204.692917,MtCO2e,PH-SG
189,409.385833,MtCO2e,PH-SG
190,546.816864,MtCO2e,PH-SG
191,614.07875,MtCO2e,PH-SG
192,818.771667,MtCO2e,PH-SG
193,1.02E+03,MtCO2e,PH-SG
194,1.09E+03,MtCO2e,PH-SG
195,1.23E+03,MtCO2e,PH-SG
196,1.43E+03,MtCO2e,PH-SG
197,1.64E+03,MtCO2e,PH-SG
198,0,MtCO2e,MY-PH
199,350.186909,MtCO2e,MY-PH
200,700.373818,MtCO2e,MY-PH
201,1.03E+03,MtCO2e,MY-PH
202,1.05E+03,MtCO2e,MY-PH
203,1.40E+03,MtCO2e,MY-PH
204,1.75E+03,MtCO2e,MY-PH
205,2.06E+03,MtCO2e,MY-PH
206,2.10E+03,MtCO2e,MY-PH
207,2.45E+03,MtCO2e,MY-PH
208,2.80E+03,MtCO2e,MY-PH
209,0,MtCO2e,TH-VN
210,324.115608,MtCO2e,TH-VN
211,648.231216,MtCO2e,TH-VN
212,972.346824,MtCO2e,TH-VN
213,1.30E+03,MtCO2e,TH-VN
214,1.60E+03,MtCO2e,TH-VN
215,1.62E+03,MtCO2e,TH-VN
216,1.94E+03,MtCO2e,TH-VN
217,2.27E+03,MtCO2e,TH-VN
218,2.59E+03,MtCO2e,TH-VN
219,2.92E+03,MtCO2e,TH-VN
220,0,MtCO2e,LA-VN
221,142.20209,MtCO2e,LA-VN
222,284.404181,MtCO2e,LA-VN
223,426.606271,MtCO2e,LA-VN
224,568.808361,MtCO2e,LA-VN
225,711.010451,MtCO2e,LA-VN
226,807.700034,MtCO2e,LA-VN
227,853.212542,MtCO2e,LA-VN
228,995.414632,MtCO2e,LA-VN
229,1.14E+03,MtCO2e,LA-VN
230,1.28E+03,MtCO2e,LA-VN
231,0,MtCO2e,KH-VN
232,162.759274,MtCO2e,KH-VN
233,325.518549,MtCO2e,KH-VN
234,488.277823,MtCO2e,KH-VN
235,651.037098,MtCO2e,KH-VN
236,813.796372,MtCO2e,KH-VN
237,872.002669,MtCO2e,KH-VN
238,976.555647,MtCO2e,KH-VN
239,1.14E+03,MtCO2e,KH-VN
240,1.30E+03,MtCO2e,KH-VN
241,1.46E+03,MtCO2e,KH-VN
242,0,MtCO2e,LA-TH
243,204.652834,MtCO2e,LA-TH
244,409.305668,MtCO2e,LA-TH
245,613.958502,MtCO2e,LA-TH
246,794.949986,MtCO2e,LA-TH
247,818.611336,MtCO2e,LA-TH
248,1.02E+03,MtCO2e,LA-TH
249,1.23E+03,MtCO2e,LA-TH
250,1.43E+03,MtCO2e,LA-TH
251,1.59E+03,MtCO2e,LA-TH
252,1.64E+03,MtCO2e,LA-TH
253,0,MtCO2e,KH-TH
254,227.779666,MtCO2e,KH-TH
255,455.559332,MtCO2e,KH-TH
256,683.338998,MtCO2e,KH-TH
257,859.252621,MtCO2e,KH-TH
258,911.118664,MtCO2e,KH-TH
259,1.14E+03,MtCO2e,KH-TH
260,1.37E+03,MtCO2e,KH-TH
261,1.59E+03,MtCO2e,KH-TH
262,1.72E+03,MtCO2e,KH-TH
263,1.82E+03,MtCO2e,KH-TH
264,0,MtCO2e,LA-TH-VN
265,324.115664,MtCO2e,LA-TH-VN
266,648.231328,MtCO2e,LA-TH-VN
267,972.346992,MtCO2e,LA-TH-VN
268,1.30E+03,MtCO2e,LA-TH-VN
269,1.60E+03,MtCO2e,LA-TH-VN
270,1.62E+03,MtCO2e,LA-TH-VN
271,1.94E+03,MtCO2e,LA-TH-VN
272,2.27E+03,MtCO2e,LA-TH-VN
273,2.59E+03,MtCO2e,LA-TH-VN
274,2.92E+03,MtCO2e,LA-TH-VN
275,0,MtCO2e,KH-TH-VN
276,344.672848,MtCO2e,KH-TH-VN
277,689.345697,MtCO2e,KH-TH-VN
278,1.03E+03,MtCO2e,KH-TH-VN
279,1.38E+03,MtCO2e,KH-TH-VN
280,1.67E+03,MtCO2e,KH-TH-VN
281,1.72E+03,MtCO2e,KH-TH-VN
282,2.07E+03,MtCO2e,KH-TH-VN
283,2.41E+03,MtCO2e,KH-TH-VN
284,2.76E+03,MtCO2e,KH-TH-VN
285,3.10E+03,MtCO2e,KH-TH-VN
286,0,MtCO2e,KH-LA-TH
287,227.779729,MtCO2e,KH-LA-TH
288,455.559459,MtCO2e,KH-LA-TH
289,683.339188,MtCO2e,KH-LA-TH
290,860.53332,MtCO2e,KH-LA-TH
291,911.118917,MtCO2e,KH-LA-TH
292,1.14E+03,MtCO2e,KH-LA-TH
293,1.37E+03,MtCO2e,KH-LA-TH
294,1.59E+03,MtCO2e,KH-LA-TH
295,1.72E+03,MtCO2e,KH-LA-TH
296,1.82E+03,MtCO2e,KH-LA-TH
297,0,MtCO2e,KH-LA-TH-VN
298,344.672905,MtCO2e,KH-LA-TH-VN
299,689.345809,MtCO2e,KH-LA-TH-VN
300,1.03E+03,MtCO2e,KH-LA-TH-VN
301,1.38E+03,MtCO2e,KH-LA-TH-VN
302,1.67E+03,MtCO2e,KH-LA-TH-VN
303,1.72E+03,MtCO2e,KH-LA-TH-VN
304,2.07E+03,MtCO2e,KH-LA-TH-VN
305,2.41E+03,MtCO2e,KH-LA-TH-VN
306,2.76E+03,MtCO2e,KH-LA-TH-VN
307,3.10E+03,MtCO2e,KH-LA-TH-VN
308,0,MtCO2e,KH-LA
309,23.126959,MtCO2e,KH-LA
310,46.253918,MtCO2e,KH-LA
311,66.864033,MtCO2e,KH-LA
312,69.380876,MtCO2e,KH-LA
313,92.507835,MtCO2e,KH-LA
314,115.634794,MtCO2e,KH-LA
315,133.728065,MtCO2e,KH-LA
316,138.761753,MtCO2e,KH-LA
317,161.888711,MtCO2e,KH-LA
318,185.01567,MtCO2e,KH-LA
319,0,MtCO2e,KH-LA-VN
320,162.759331,MtCO2e,KH-LA-VN
321,325.518661,MtCO2e,KH-LA-VN
322,488.277992,MtCO2e,KH-LA-VN
323,651.037323,MtCO2e,KH-LA-VN
324,813.796653,MtCO2e,KH-LA-VN
325,873.283368,MtCO2e,KH-LA-VN
326,976.555984,MtCO2e,KH-LA-VN
327,1.14E+03,MtCO2e,KH-LA-VN
328,1.30E+03,MtCO2e,KH-LA-VN
329,1.46E+03,MtCO2e,KH-LA-VN
330,1000000000,MTCO2e,BAU
331,0,MtCO2e,BN
332,19.781504,MtCO2e,BN
333,32.886679,MtCO2e,BN
334,39.563007,MtCO2e,BN
335,59.344511,MtCO2e,BN
336,65.773358,MtCO2e,BN
337,79.126014,MtCO2e,BN
338,98.660037,MtCO2e,BN
339,98.907518,MtCO2e,BN
340,118.689021,MtCO2e,BN
341,131.546717,MtCO2e,BN
342,0,MtCO2e,MA
343,26.325086,MtCO2e,MA
344,52.650172,MtCO2e,MA
345,78.975258,MtCO2e,MA
346,105.300345,MtCO2e,MA
347,131.625431,MtCO2e,MA
348,157.950517,MtCO2e,MA
349,184.275603,MtCO2e,MA
350,203.824704,MtCO2e,MA
351,210.600689,MtCO2e,MA
352,236.925775,MtCO2e,MA
353,0,MtCO2e,KE
354,13.295178,MtCO2e,KE
355,26.590356,MtCO2e,KE
356,36.1766,MtCO2e,KE
357,39.885534,MtCO2e,KE
358,53.180712,MtCO2e,KE
359,66.47589,MtCO2e,KE
360,72.3532,MtCO2e,KE
361,79.771068,MtCO2e,KE
362,93.066246,MtCO2e,KE
363,106.361424,MtCO2e,KE
364,0,MtCO2e,ZA
365,109.948839,MtCO2e,ZA
366,219.897679,MtCO2e,ZA
367,329.846518,MtCO2e,ZA
368,439.795358,MtCO2e,ZA
369,549.744197,MtCO2e,ZA
370,659.693037,MtCO2e,ZA
371,712.229462,MtCO2e,ZA
372,769.641876,MtCO2e,ZA
373,879.590716,MtCO2e,ZA
374,989.539555,MtCO2e,ZA
375,0,MtCO2e,KR
376,422.77757,MtCO2e,KR
377,845.55514,MtCO2e,KR
378,906.455495,MtCO2e,KR
379,1.27E+03,MtCO2e,KR
380,1.69E+03,MtCO2e,KR
381,1.81E+03,MtCO2e,KR
382,2.11E+03,MtCO2e,KR
383,2.54E+03,MtCO2e,KR
384,2.72E+03,MtCO2e,KR
385,2.96E+03,MtCO2e,KR
386,0,MtCO2e,EG
387,67.89978,MtCO2e,EG
388,135.79956,MtCO2e,EG
389,203.69934,MtCO2e,EG
390,271.59912,MtCO2e,EG
391,339.4989,MtCO2e,EG
392,407.39868,MtCO2e,EG
393,475.29846,MtCO2e,EG
394,543.19824,MtCO2e,EG
395,611.098021,MtCO2e,EG
396,678.997801,MtCO2e,EG
397,0,MtCO2e,NG
398,221.708105,MtCO2e,NG
399,443.41621,MtCO2e,NG
400,665.124315,MtCO2e,NG
401,852.379731,MtCO2e,NG
402,886.83242,MtCO2e,NG
403,1.11E+03,MtCO2e,NG
404,1.33E+03,MtCO2e,NG
405,1.55E+03,MtCO2e,NG
406,1.70E+03,MtCO2e,NG
407,1.77E+03,MtCO2e,NG
408,0,MtCO2e,BR
409,63.790035,MtCO2e,BR
410,127.58007,MtCO2e,BR
411,191.370105,MtCO2e,BR
412,255.16014,MtCO2e,BR
413,318.950175,MtCO2e,BR
414,382.740209,MtCO2e,BR
415,446.530244,MtCO2e,BR
416,510.320279,MtCO2e,BR
417,574.110314,MtCO2e,BR
418,637.900349,MtCO2e,BR
419,0,MtCO2e,CO
420,10.011277,MtCO2e,CO
421,20.022553,MtCO2e,CO
422,30.03383,MtCO2e,CO
423,40.045106,MtCO2e,CO
424,50.056383,MtCO2e,CO
425,60.06766,MtCO2e,CO
426,70.078936,MtCO2e,CO
427,80.090213,MtCO2e,CO
428,90.101489,MtCO2e,CO
429,100.112766,MtCO2e,CO
430,0,MtCO2e,PE
431,22.971982,MtCO2e,PE
432,45.943964,MtCO2e,PE
433,68.915947,MtCO2e,PE
434,90.338803,MtCO2e,PE
435,91.887929,MtCO2e,PE
436,114.859911,MtCO2e,PE
437,137.831893,MtCO2e,PE
438,160.803875,MtCO2e,PE
439,180.677606,MtCO2e,PE
440,183.775858,MtCO2e,PE
441,0,MtCO2e,CL
442,3.451752,MtCO2e,CL
443,6.903504,MtCO2e,CL
444,10.355257,MtCO2e,CL
445,13.807009,MtCO2e,CL
446,17.258761,MtCO2e,CL
447,20.710513,MtCO2e,CL
448,24.162266,MtCO2e,CL
449,27.614018,MtCO2e,CL
450,31.06577,MtCO2e,CL
451,34.517522,MtCO2e,CL
452,0,MtCO2e,EG-MA
453,91.592358,MtCO2e,EG-MA
454,183.184715,MtCO2e,EG-MA
455,274.777073,MtCO2e,EG-MA
456,366.36943,MtCO2e,EG-MA
457,457.961788,MtCO2e,EG-MA
458,549.554146,MtCO2e,EG-MA
459,641.146503,MtCO2e,EG-MA
460,732.738861,MtCO2e,EG-MA
461,824.331218,MtCO2e,EG-MA
462,915.923576,MtCO2e,EG-MA
463,0,MtCO2e,MA-NG
464,223.398957,MtCO2e,MA-NG
465,446.797915,MtCO2e,MA-NG
466,670.196872,MtCO2e,MA-NG
467,893.595829,MtCO2e,MA-NG
468,1.06E+03,MtCO2e,MA-NG
469,1.12E+03,MtCO2e,MA-NG
470,1.34E+03,MtCO2e,MA-NG
471,1.56E+03,MtCO2e,MA-NG
472,1.79E+03,MtCO2e,MA-NG
473,2.01E+03,MtCO2e,MA-NG
474,0,MtCO2e,EG-MA-NG
475,298.843157,MtCO2e,EG-MA-NG
476,597.686315,MtCO2e,EG-MA-NG
477,896.529472,MtCO2e,EG-MA-NG
478,1.20E+03,MtCO2e,EG-MA-NG
479,1.49E+03,MtCO2e,EG-MA-NG
480,1.79E+03,MtCO2e,EG-MA-NG
481,1.80E+03,MtCO2e,EG-MA-NG
482,2.09E+03,MtCO2e,EG-MA-NG
483,2.39E+03,MtCO2e,EG-MA-NG
484,2.69E+03,MtCO2e,EG-MA-NG
485,0,MtCO2e,EG-KE-MA
486,113.587222,MtCO2e,EG-KE-MA
487,227.174444,MtCO2e,EG-KE-MA
488,340.761667,MtCO2e,EG-KE-MA
489,454.348889,MtCO2e,EG-KE-MA
490,567.936111,MtCO2e,EG-KE-MA
491,681.523333,MtCO2e,EG-KE-MA
492,795.110555,MtCO2e,EG-KE-MA
493,908.697778,MtCO2e,EG-KE-MA
494,981.504532,MtCO2e,EG-KE-MA
495,1.02E+03,MtCO2e,EG-KE-MA
496,0,MtCO2e,KE-MA-NG
497,235.216893,MtCO2e,KE-MA-NG
498,470.433787,MtCO2e,KE-MA-NG
499,705.65068,MtCO2e,KE-MA-NG
500,940.867573,MtCO2e,KE-MA-NG
501,1.09E+03,MtCO2e,KE-MA-NG
502,1.18E+03,MtCO2e,KE-MA-NG
503,1.41E+03,MtCO2e,KE-MA-NG
504,1.65E+03,MtCO2e,KE-MA-NG
505,1.88E+03,MtCO2e,KE-MA-NG
506,2.12E+03,MtCO2e,KE-MA-NG
507,0,MtCO2e,EG-KE-MA-NG
508,310.661093,MtCO2e,EG-KE-MA-NG
509,621.322187,MtCO2e,EG-KE-MA-NG
510,931.98328,MtCO2e,EG-KE-MA-NG
511,1.24E+03,MtCO2e,EG-KE-MA-NG
512,1.55E+03,MtCO2e,EG-KE-MA-NG
513,1.83E+03,MtCO2e,EG-KE-MA-NG
514,1.86E+03,MtCO2e,EG-KE-MA-NG
515,2.17E+03,MtCO2e,EG-KE-MA-NG
516,2.49E+03,MtCO2e,EG-KE-MA-NG
517,2.80E+03,MtCO2e,EG-KE-MA-NG
518,0,MtCO2e,KE-MA
519,38.143022,MtCO2e,KE-MA
520,76.286044,MtCO2e,KE-MA
521,114.429066,MtCO2e,KE-MA
522,152.572089,MtCO2e,KE-MA
523,190.715111,MtCO2e,KE-MA
524,228.858133,MtCO2e,KE-MA
525,240.001304,MtCO2e,KE-MA
526,267.001155,MtCO2e,KE-MA
527,305.144177,MtCO2e,KE-MA
528,343.287199,MtCO2e,KE-MA
529,0,MtCO2e,EG-NG
530,272.518071,MtCO2e,EG-NG
531,545.036142,MtCO2e,EG-NG
532,817.554214,MtCO2e,EG-NG
533,1.09E+03,MtCO2e,EG-NG
534,1.36E+03,MtCO2e,EG-NG
535,1.59E+03,MtCO2e,EG-NG
536,1.64E+03,MtCO2e,EG-NG
537,1.91E+03,MtCO2e,EG-NG
538,2.18E+03,MtCO2e,EG-NG
539,2.45E+03,MtCO2e,EG-NG
540,0,MtCO2e,EG-KE
541,87.262136,MtCO2e,EG-KE
542,174.524272,MtCO2e,EG-KE
543,261.786408,MtCO2e,EG-KE
544,349.048544,MtCO2e,EG-KE
545,436.31068,MtCO2e,EG-KE
546,523.572816,MtCO2e,EG-KE
547,610.834952,MtCO2e,EG-KE
548,698.097088,MtCO2e,EG-KE
549,777.679828,MtCO2e,EG-KE
550,785.359224,MtCO2e,EG-KE
551,0,MtCO2e,EG-KE-NG
552,284.336007,MtCO2e,EG-KE-NG
553,568.672014,MtCO2e,EG-KE-NG
554,853.008022,MtCO2e,EG-KE-NG
555,1.14E+03,MtCO2e,EG-KE-NG
556,1.42E+03,MtCO2e,EG-KE-NG
557,1.63E+03,MtCO2e,EG-KE-NG
558,1.71E+03,MtCO2e,EG-KE-NG
559,1.99E+03,MtCO2e,EG-KE-NG
560,2.27E+03,MtCO2e,EG-KE-NG
561,2.56E+03,MtCO2e,EG-KE-NG
562,0,MtCO2e,KE-NG
563,235.003283,MtCO2e,KE-NG
564,470.006566,MtCO2e,KE-NG
565,705.009849,MtCO2e,KE-NG
566,888.556331,MtCO2e,KE-NG
567,940.013132,MtCO2e,KE-NG
568,1.18E+03,MtCO2e,KE-NG
569,1.41E+03,MtCO2e,KE-NG
570,1.65E+03,MtCO2e,KE-NG
571,1.78E+03,MtCO2e,KE-NG
572,1.88E+03,MtCO2e,KE-NG
573,0,MtCO2e,BR-CL
574,67.241787,MtCO2e,BR-CL
575,134.483574,MtCO2e,BR-CL
576,201.725361,MtCO2e,BR-CL
577,268.967149,MtCO2e,BR-CL
578,336.208936,MtCO2e,BR-CL
579,403.450723,MtCO2e,BR-CL
580,470.69251,MtCO2e,BR-CL
581,537.934297,MtCO2e,BR-CL
582,605.176084,MtCO2e,BR-CL
583,672.417872,MtCO2e,BR-CL
584,0,MtCO2e,BR-CO
585,73.801312,MtCO2e,BR-CO
586,147.602623,MtCO2e,BR-CO
587,221.403935,MtCO2e,BR-CO
588,295.205246,MtCO2e,BR-CO
589,369.006558,MtCO2e,BR-CO
590,442.807869,MtCO2e,BR-CO
591,516.609181,MtCO2e,BR-CO
592,590.410492,MtCO2e,BR-CO
593,664.211804,MtCO2e,BR-CO
594,738.013115,MtCO2e,BR-CO
595,0,MtCO2e,BR-PE
596,91.297356,MtCO2e,BR-PE
597,182.594713,MtCO2e,BR-PE
598,273.892069,MtCO2e,BR-PE
599,365.189425,MtCO2e,BR-PE
600,456.486781,MtCO2e,BR-PE
601,547.784138,MtCO2e,BR-PE
602,639.081494,MtCO2e,BR-PE
603,730.37885,MtCO2e,BR-PE
604,790.25509,MtCO2e,BR-PE
605,821.676207,MtCO2e,BR-PE
606,0,MtCO2e,BR-CL-PE
607,85.619373,MtCO2e,BR-CL-PE
608,171.238746,MtCO2e,BR-CL-PE
609,256.858119,MtCO2e,BR-CL-PE
610,342.477492,MtCO2e,BR-CL-PE
611,428.096865,MtCO2e,BR-CL-PE
612,513.716237,MtCO2e,BR-CL-PE
613,599.33561,MtCO2e,BR-CL-PE
614,684.954983,MtCO2e,BR-CL-PE
615,770.574356,MtCO2e,BR-CL-PE
616,856.193729,MtCO2e,BR-CL-PE
617,0,MtCO2e,BR-CL-CO
618,77.253064,MtCO2e,BR-CL-CO
619,154.506128,MtCO2e,BR-CL-CO
620,231.759191,MtCO2e,BR-CL-CO
621,309.012255,MtCO2e,BR-CL-CO
622,386.265319,MtCO2e,BR-CL-CO
623,463.518383,MtCO2e,BR-CL-CO
624,540.771446,MtCO2e,BR-CL-CO
625,618.02451,MtCO2e,BR-CL-CO
626,695.277574,MtCO2e,BR-CL-CO
627,772.530638,MtCO2e,BR-CL-CO
628,0,MtCO2e,BR-CO-PE
629,102.420997,MtCO2e,BR-CO-PE
630,204.841994,MtCO2e,BR-CO-PE
631,307.262991,MtCO2e,BR-CO-PE
632,409.683988,MtCO2e,BR-CO-PE
633,512.104985,MtCO2e,BR-CO-PE
634,614.525982,MtCO2e,BR-CO-PE
635,716.946979,MtCO2e,BR-CO-PE
636,819.367976,MtCO2e,BR-CO-PE
637,920.592052,MtCO2e,BR-CO-PE
638,921.788973,MtCO2e,BR-CO-PE
639,0,MtCO2e,BR-CL-CO-PE
640,95.63065,MtCO2e,BR-CL-CO-PE
641,191.261299,MtCO2e,BR-CL-CO-PE
642,286.891949,MtCO2e,BR-CL-CO-PE
643,382.522598,MtCO2e,BR-CL-CO-PE
644,478.153248,MtCO2e,BR-CL-CO-PE
645,573.783897,MtCO2e,BR-CL-CO-PE
646,669.414547,MtCO2e,BR-CL-CO-PE
647,765.045196,MtCO2e,BR-CL-CO-PE
648,860.675846,MtCO2e,BR-CL-CO-PE
649,956.306495,MtCO2e,BR-CL-CO-PE
650,0,MtCO2e,CL-CO
651,13.463029,MtCO2e,CL-CO
652,26.926058,MtCO2e,CL-CO
653,40.389087,MtCO2e,CL-CO
654,53.852115,MtCO2e,CL-CO
655,67.315144,MtCO2e,CL-CO
656,80.778173,MtCO2e,CL-CO
657,94.241202,MtCO2e,CL-CO
658,107.704231,MtCO2e,CL-CO
659,121.16726,MtCO2e,CL-CO
660,134.630288,MtCO2e,CL-CO
661,0,MtCO2e,CO-PE
662,31.54318,MtCO2e,CO-PE
663,63.086361,MtCO2e,CO-PE
664,94.629541,MtCO2e,CO-PE
665,126.172722,MtCO2e,CO-PE
666,157.715902,MtCO2e,CO-PE
667,189.259082,MtCO2e,CO-PE
668,220.675764,MtCO2e,CO-PE
669,220.802263,MtCO2e,CO-PE
670,252.345443,MtCO2e,CO-PE
671,283.888624,MtCO2e,CO-PE
672,0,MtCO2e,CL-CO-PE
673,31.840615,MtCO2e,CL-CO-PE
674,63.681229,MtCO2e,CL-CO-PE
675,95.521844,MtCO2e,CL-CO-PE
