region,group,scenario,2022,2030,2040,2050
ZAF,7,low,0.07685267337809994,0.056807032003184287,0.05074753243880011,0.04463896861579244
ZAF,8,low,0.09082608780077567,0.06713573190926886,0.05997448929697922,0.052755261523398676
ZAF,9,low,0.13153269086388567,0.09722474770147718,0.08685396620541963,0.07639921165184656
CHL,0,medium,0.018254126586348996,0.01751244160524028,0.01547203942698976,0.013431463336247305
CHL,1,medium,0.020431297935919156,0.01960115211919393,0.01731739098629424,0.015033435198343803
CHL,2,medium,0.023434409430863196,0.022482243933718973,0.01986280225172106,0.017243137303136185
CHL,3,medium,0.02674653705732339,0.025659796218847987,0.022670132910978108,0.019680214780896377
CHL,4,medium,0.03603868043262049,0.03457438972063208,0.030546073070796535,0.02651741306973639
CHL,5,medium,0.047240203795842706,0.04532078302848075,0.04004038715360381,0.03475954120725849
CHL,6,medium,0.0655334226912494,0.06287072857982047,0.05554556088281126,0.04821976882939772
CHL,7,medium,0.09136064456969183,0.08764856239357482,0.07743649021884937,0.06722354762409671
CHL,8,medium,0.14811379656262316,0.14209577220600217,0.12553996978479307,0.10898275623940233
CHL,9,medium,0.36137707451448664,0.34669393164174916,0.3063000751336771,0.265902775678759
COL,0,medium,0.05227119611523995,0.04444746222363273,0.03887325458772949,0.033294416692750003
COL,1,medium,0.08476837226679286,0.07208059704202135,0.0630408860139654,0.053993666079393696
COL,2,medium,0.10247362803398694,0.08713580421840143,0.07620800224871953,0.0652711230150468
COL,3,medium,0.13803521993682877,0.11737468586230121,0.10265459077782928,0.08792226833149155
COL,4,medium,0.1945149442990344,0.16540076143661614,0.14465766067767222,0.12389732950019346
COL,5,medium,0.2816402738469938,0.23948553625727845,0.20945137821745477,0.17939227206985778
COL,6,medium,0.38798676482446165,0.3299145295008273,0.2885395668474764,0.2471302357584951
COL,7,medium,0.5337783839016602,0.4538846691389079,0.3969624679161759,0.33999298382275484
COL,8,medium,0.7359184482250597,0.6257692545440208,0.5472908087006398,0.46874717412375033
COL,9,medium,1.434449245424838,1.2197468852095135,1.066777017836775,0.9136800848498514
EGY,0,medium,0.029918055402036254,0.027242635921885444,0.023947199489659583,0.02064874907632999
EGY,1,medium,0.03225485376594594,0.02937046629706799,0.025817634443926152,0.0222615531977859
EGY,2,medium,0.03471372111132068,0.03160944964575533,0.027785776625864164,0.023958606503702663
EGY,3,medium,0.03689721475217003,0.0335976845592903,0.029533502442237094,0.025465603255122284
EGY,4,medium,0.03892697879601289,0.03544593713154757,0.0311581790404204,0.026866499398345987
EGY,5,medium,0.04269198716865479,0.03887425996070311,0.034171790900159385,0.029465020997168898
EGY,6,medium,0.04593525912576716,0.04182750260752472,0.036767791192039656,0.0317034522029665
EGY,7,medium,0.051402103017854577,0.0468054744640713,0.041143597022446195,0.03547654127076438
EGY,8,medium,0.060570726460662715,0.05515419455970565,0.0484824046982801,0.0418045128685777
EGY,9,medium,0.07158071256690356,0.06517961362410546,0.057295087545527916,0.04940335033935094
KEN,0,medium,0.0338572387364427,0.028870818337718464,0.025254559782065145,0.02163523562926062
KEN,1,medium,0.04854770831572842,0.0413977075451019,0.03621237430157444,0.031022645315161308
KEN,2,medium,0.05524402865680553,0.04710780840723491,0.04120724773735675,0.03530168500755873
KEN,3,medium,0.061658607353153,0.05257766192059626,0.045991966373885494,0.03940068796046426
KEN,4,medium,0.06751137160682673,0.05756844379907886,0.05035762022668004,0.043140683850160316
KEN,5,medium,0.07507978387469647,0.06402219678796217,0.056002998503452965,0.04797700213439524
KEN,6,medium,0.08352828659809086,0.07122642242643033,0.062304847829023124,0.053375710179016184
KEN,7,medium,0.09827912348241845,0.08380478817361613,0.07330769111552442,0.06280169539315289
KEN,8,medium,0.1444944740745643,0.12321364256207575,0.10778032910777044,0.09233393242917905
KEN,9,medium,0.266860577089343,0.22755793237067315,0.19905481513248993,0.1705275350548294
KOR,0,medium,0.07384594016957576,0.046313734331941435,0.04021355966474626,0.03411739110932222
KOR,1,medium,0.08789910830615914,0.05512741717090656,0.047866355661946344,0.0406100626433276
KOR,2,medium,0.0989050821987762,0.06203000043758955,0.05385977096389882,0.04569490705009107
KOR,3,medium,0.10733441360022074,0.06731659864767219,0.05845004932541064,0.0495893228507802
KOR,4,medium,0.12038229417147317,0.07549979833318232,0.06555540572883167,0.05561754381424692
KOR,5,medium,0.1297917824252101,0.0814011185436419,0.07067943849810006,0.05996479960317867
KOR,6,medium,0.14362513679940148,0.09007694145191106,0.07821253266973292,0.06635591549193796
KOR,7,medium,0.15756552475324043,0.09881989228571188,0.08580391306849511,0.07279648171595385
KOR,8,medium,0.18551552059283466,0.11634920640807586,0.10102436828571919,0.08570959430377618
KOR,9,medium,0.24685701482069497,0.15482056530295546,0.13442850441550985,0.11404983541921762
MAR,0,medium,0.03555604060014409,0.028445814403733678,0.024798249320718176,0.02114940007914642
MAR,1,medium,0.041547485198476536,0.03323913554348187,0.02897692991712045,0.024713223742393525
MAR,2,medium,0.04879046737862584,0.0390337213114273,0.034028484446173686,0.029021485441630128
MAR,3,medium,0.054406241066804764,0.043526495348440095,0.03794515665426038,0.032361852998887365
MAR,4,medium,0.060623051650151125,0.04850011549995728,0.042281016784448185,0.03605972857851347
MAR,5,medium,0.06798587412600773,0.05439057681400488,0.04741615287886913,0.040439273534174085
MAR,6,medium,0.07617788988906228,0.06094441565699895,0.05312960257412668,0.04531203821503144
