Charging_profile,Unit
0.092162795,GWh/GWh fleet
0.092635581,GWh/GWh fleet
0.090439413,GWh/GWh fleet
0.087633199,GWh/GWh fleet
0.083301868,GWh/GWh fleet
0.079641588,GWh/GWh fleet
0.07561528,GWh/GWh fleet
0.073358107,GWh/GWh fleet
0.071497465,GWh/GWh fleet
0.070338377,GWh/GWh fleet
0.069972349,GWh/GWh fleet
0.070826414,GWh/GWh fleet
0.073159842,GWh/GWh fleet
0.07575254,GWh/GWh fleet
0.082234286,GWh/GWh fleet
0.086031826,GWh/GWh fleet
0.088807538,GWh/GWh fleet
0.089036306,GWh/GWh fleet
0.087617947,GWh/GWh fleet
0.087068906,GWh/GWh fleet
0.086702878,GWh/GWh fleet
0.086153836,GWh/GWh fleet
0.084933742,GWh/GWh fleet
0.083744151,GWh/GWh fleet
0.083744151,GWh/GWh fleet
0.086092831,GWh/GWh fleet
0.085406528,GWh/GWh fleet
0.084003421,GWh/GWh fleet
0.081136202,GWh/GWh fleet
0.078253732,GWh/GWh fleet
0.075920303,GWh/GWh fleet
0.07247354,GWh/GWh fleet
0.070612898,GWh/GWh fleet
0.069301297,GWh/GWh fleet
0.068843762,GWh/GWh fleet
0.069347051,GWh/GWh fleet
0.070948423,GWh/GWh fleet
0.071665228,GWh/GWh fleet
0.075859299,GWh/GWh fleet
0.079092546,GWh/GWh fleet
0.081547983,GWh/GWh fleet
0.081837756,GWh/GWh fleet
0.081136202,GWh/GWh fleet
0.082005518,GWh/GWh fleet
0.081853007,GWh/GWh fleet
0.081700495,GWh/GWh fleet
0.081486979,GWh/GWh fleet
0.081212458,GWh/GWh fleet
0.082249537,GWh/GWh fleet
0.085147259,GWh/GWh fleet
0.085848812,GWh/GWh fleet
0.085254017,GWh/GWh fleet
0.081075197,GWh/GWh fleet
0.07758268,GWh/GWh fleet
0.074928978,GWh/GWh fleet
0.071253447,GWh/GWh fleet
0.0699876,GWh/GWh fleet
0.069011525,GWh/GWh fleet
0.069194539,GWh/GWh fleet
0.072488791,GWh/GWh fleet
0.078207978,GWh/GWh fleet
0.083698398,GWh/GWh fleet
0.092132293,GWh/GWh fleet
0.096402619,GWh/GWh fleet
0.09850728,GWh/GWh fleet
0.098736047,GWh/GWh fleet
0.097485452,GWh/GWh fleet
0.099208833,GWh/GWh fleet
0.099391847,GWh/GWh fleet
0.099117326,GWh/GWh fleet
0.098705545,GWh/GWh fleet
0.096234856,GWh/GWh fleet
0.093581153,GWh/GWh fleet
0.093779418,GWh/GWh fleet
0.092254302,GWh/GWh fleet
0.089310827,GWh/GWh fleet
0.084140682,GWh/GWh fleet
0.079458574,GWh/GWh fleet
0.073876647,GWh/GWh fleet
0.072839568,GWh/GWh fleet
0.07155847,GWh/GWh fleet
0.070734907,GWh/GWh fleet
0.070704405,GWh/GWh fleet
0.07352587,GWh/GWh fleet
0.079351816,GWh/GWh fleet
0.084033924,GWh/GWh fleet
0.091766265,GWh/GWh fleet
0.095258782,GWh/GWh fleet
0.097744722,GWh/GWh fleet
0.097866731,GWh/GWh fleet
0.097134675,GWh/GWh fleet
0.098751299,GWh/GWh fleet
